"tip_amount,""trip_distance"",""passenger_count"""
1.56,0.39,1
2.46,1.44,1
2.5,1.93,2
2.66,1.1,2
2.07,1.4,2
1.5,0.6,1
4.76,4.9,1
2.96,2.0,1
1.76,0.41,2
2.0,0.88,5
1.5,0.62,6
1.0,3.71,1
2.46,0.93,1
2.32,0.79,1
1.0,0.8,1
0.98,1.0,1
2.56,1.1,1
3.05,1.7,1
2.86,1.7,1
2.5,4.1,1
2.25,1.2,0
2.36,1.2,0
1.35,0.2,0
1.0,0.7,0
1.5,0.8,0
2.0,1.7,1
1.0,1.5,1
3.2,2.61,6
0.7,0.85,1
2.35,1.4,1
5.75,2.7,1
2.0,2.67,1
3.05,1.7,1
2.0,1.3,1
3.45,1.3,2
1.0,0.56,2
2.45,0.87,1
1.86,0.77,1
2.64,0.7,1
1.66,0.46,1
3.56,1.6,1
2.35,1.2,1
3.36,1.38,2
5.0,1.74,2
1.86,0.7,2
1.56,0.53,1
2.86,1.39,2
5.34,4.09,1
5.06,4.92,1
1.5,1.25,1
4.0,11.1,1
1.45,0.3,1
2.96,2.81,1
0.96,0.56,1
1.44,0.53,1
1.65,0.5,2
0.88,0.5,1
1.0,0.6,1
2.66,1.9,1
4.66,5.66,2
2.06,0.9,1
1.0,1.19,1
1.7,1.63,1
4.0,1.1,1
2.95,1.1,1
5.34,2.27,3
3.0,1.31,3
1.76,1.15,1
1.76,0.92,1
2.46,1.55,1
3.0,5.6,1
4.45,2.2,1
1.0,2.6,1
2.16,0.68,3
1.66,0.71,3
2.0,6.24,1
8.35,10.5,3
2.36,1.61,1
2.56,2.09,1
1.86,1.06,1
1.0,0.6,0
1.2,3.3,1
3.05,2.3,4
3.15,1.9,1
1.86,1.12,1
3.56,2.76,1
5.08,3.01,2
2.35,1.2,1
3.45,2.0,1
2.45,1.1,1
2.94,0.83,1
2.86,1.5,1
3.66,3.57,1
3.96,2.63,1
1.5,3.2,1
2.16,0.76,1
1.32,0.43,6
2.46,2.15,5
2.96,1.83,5
1.96,1.08,5
0.5,0.86,2
1.0,1.44,1
3.0,4.03,1
1.86,0.74,1
0.5,0.6,1
2.95,3.1,1
2.55,1.6,1
3.65,1.3,1
3.04,2.9,1
3.16,1.73,1
2.06,1.24,1
2.96,1.83,1
2.26,1.73,4
1.96,0.81,3
2.16,0.72,2
2.65,1.2,1
2.15,0.5,3
0.98,1.02,1
1.38,1.63,1
2.36,1.26,6
2.08,3.91,5
2.55,1.3,1
2.15,0.8,1
2.0,2.9,1
3.56,1.78,1
2.65,0.8,1
2.5,2.3,1
2.36,1.38,5
3.46,1.74,4
1.96,0.93,1
2.64,0.68,1
4.65,4.9,1
1.76,1.04,1
3.15,2.7,1
2.49,0.58,2
2.05,1.0,1
3.29,2.9,1
2.76,1.0,1
2.83,1.01,1
2.0,0.42,1
9.6,8.26,1
2.26,0.64,1
1.86,0.8,1
2.05,0.5,1
1.66,0.75,1
1.0,1.48,1
2.3,0.5,2
2.65,1.2,1
1.0,1.24,1
2.45,0.83,1
2.25,0.9,1
2.86,2.0,1
1.96,0.52,1
3.26,2.75,1
1.76,0.58,1
3.26,1.75,1
5.33,2.0,1
2.76,2.26,6
1.56,0.45,6
2.82,2.57,1
6.76,7.47,1
1.16,0.68,1
1.0,1.72,1
4.26,4.61,1
1.86,0.98,4
1.0,0.56,1
1.46,0.47,1
1.46,0.54,1
1.0,1.22,1
1.3,0.98,1
2.56,1.26,2
2.06,0.53,1
4.06,3.81,1
2.66,1.59,1
4.17,6.6,1
3.35,0.9,1
6.21,11.44,1
4.16,3.3,1
1.7,1.28,1
2.56,1.79,1
1.95,0.8,1
1.0,1.2,1
4.56,5.24,3
2.2,0.93,1
3.76,2.14,1
1.13,1.1,1
3.06,2.26,1
0.49,0.86,1
2.0,5.65,1
1.65,0.5,0
2.15,1.0,0
1.85,0.7,1
1.35,0.4,1
2.8,0.8,1
2.15,1.0,1
1.0,0.9,1
1.86,0.9,1
2.76,1.81,1
2.0,3.06,1
3.09,1.22,1
5.0,6.6,1
2.96,1.07,2
11.78,3.36,1
2.0,3.02,1
5.36,5.88,1
3.2,1.0,1
3.25,2.6,1
3.76,2.86,1
2.16,1.52,2
1.0,0.47,1
1.96,0.83,1
3.75,3.2,1
3.85,2.6,2
3.15,1.9,1
2.16,1.37,1
1.0,1.37,1
2.0,1.1,1
1.0,5.6,1
2.0,1.0,1
2.66,1.6,1
2.55,2.3,1
2.9,0.7,1
2.0,1.0,2
2.06,1.1,1
2.08,0.41,1
1.66,0.66,1
7.98,9.68,1
1.96,0.65,1
2.0,1.61,1
1.4,0.68,1
2.9,1.0,1
3.05,3.0,1
1.5,2.13,1
2.96,1.41,1
2.0,2.85,1
1.4,0.87,1
0.2,2.43,1
2.57,1.46,5
2.36,0.92,5
2.35,1.4,0
1.75,0.8,0
3.5,1.3,0
9.38,9.12,2
2.46,1.65,2
2.66,1.83,2
1.66,0.51,2
3.45,3.1,1
1.35,0.3,1
2.0,2.76,1
6.24,3.25,1
1.0,0.85,1
2.0,2.95,1
1.0,2.21,1
2.0,1.24,1
1.53,1.55,2
8.98,10.34,1
4.36,2.8,1
2.06,0.63,1
1.0,0.9,2
1.0,0.9,1
1.7,1.3,1
3.25,1.9,1
2.06,0.95,1
1.76,0.75,1
4.7,5.05,1
4.36,3.47,1
2.45,0.4,1
1.4,1.1,1
2.55,1.6,1
3.5,1.0,1
1.2,3.0,2
1.2,0.99,5
2.96,1.58,5
1.46,0.59,3
2.66,1.63,4
4.14,1.98,1
1.7,1.37,2
1.86,0.83,4
1.66,0.96,1
2.75,1.3,1
3.26,2.1,5
1.35,0.3,1
1.0,2.2,1
3.95,4.8,1
1.22,4.8,1
1.76,1.06,1
3.39,0.98,1
5.26,5.02,1
12.28,15.27,1
7.59,6.06,1
1.56,0.49,1
1.76,0.82,1
1.7,1.93,1
12.28,22.66,1
1.43,1.73,1
1.0,1.48,1
3.0,4.79,1
2.3,0.4,0
1.0,0.5,0
5.7,5.1,1
3.46,1.49,4
0.5,0.57,5
1.5,4.21,1
1.56,0.53,1
1.46,0.45,1
4.36,2.55,2
2.76,2.54,2
2.66,1.36,1
3.16,2.29,1
5.26,5.2,1
12.18,16.5,1
2.85,2.2,2
4.1,1.8,1
0.01,2.92,1
3.24,0.99,1
1.0,1.11,1
1.95,1.0,2
2.85,1.3,3
2.6,2.3,1
1.76,0.8,1
2.96,2.01,1
2.26,0.91,1
1.56,0.37,1
3.26,2.17,1
3.86,3.19,1
5.46,6.65,1
1.36,0.46,1
1.0,1.09,1
2.46,1.23,2
2.56,1.43,2
3.2,1.39,2
2.0,2.16,1
2.79,0.91,1
2.66,1.2,2
1.82,0.52,1
2.95,1.64,1
7.35,8.4,1
4.95,2.7,1
2.36,1.93,1
1.96,1.0,1
1.24,0.76,1
3.36,2.2,1
3.38,9.42,2
3.45,3.5,1
3.26,2.25,1
3.26,2.05,1
3.26,2.03,1
1.0,0.83,1
2.36,0.85,1
1.0,0.38,1
3.16,3.12,1
2.56,1.93,1
7.0,0.88,1
3.26,2.24,1
3.46,2.35,2
1.5,0.71,2
1.0,0.5,1
1.0,13.64,1
1.54,0.63,1
5.2,3.33,1
5.05,4.7,3
2.56,1.05,1
1.0,0.82,1
2.37,2.22,1
1.66,0.9,1
0.55,0.18,1
3.26,2.87,1
4.0,5.64,1
3.05,1.4,1
1.95,0.8,1
2.66,1.57,1
1.56,0.53,1
1.56,0.66,1
2.0,1.77,1
1.96,1.03,1
1.66,0.6,1
2.85,2.0,1
3.65,1.8,1
1.86,0.91,1
1.66,0.69,1
2.0,0.54,1
1.0,0.75,1
3.06,2.0,1
4.29,1.69,1
3.36,2.6,1
5.0,9.0,2
3.82,1.66,1
5.36,3.77,1
2.75,1.3,1
2.05,0.8,1
1.95,0.9,1
1.66,1.01,1
4.66,4.1,2
3.95,2.3,1
2.36,1.32,1
1.96,0.92,1
1.96,0.66,1
3.08,1.03,1
4.76,5.24,1
2.95,1.27,1
3.76,2.15,1
4.45,3.6,1
1.65,0.7,1
2.96,1.15,1
5.18,4.21,1
2.0,3.9,1
3.35,2.1,1
2.0,3.1,1
2.74,1.73,1
2.5,3.5,1
3.75,3.7,1
4.0,5.08,1
2.08,0.76,1
1.56,0.53,2
1.5,1.72,2
0.73,0.5,1
3.8,0.9,1
2.0,5.53,1
2.0,4.44,1
2.35,1.7,1
2.95,1.8,1
3.46,3.59,6
3.2,2.12,5
0.7,0.52,1
4.0,4.67,1
1.0,0.8,1
3.16,2.51,1
2.16,1.39,1
2.0,2.09,1
2.55,1.8,1
1.0,2.1,1
1.0,0.92,1
2.52,2.46,1
2.26,1.43,1
2.06,1.18,1
4.16,5.63,1
2.66,1.64,5
1.86,0.69,5
1.33,1.95,5
5.06,5.27,2
2.36,1.42,1
3.36,2.32,2
3.76,2.7,2
2.06,0.86,5
3.56,3.0,5
2.55,1.3,1
3.25,2.4,1
1.13,0.7,1
5.2,4.1,1
2.06,1.47,1
1.66,0.6,2
3.45,2.17,2
2.26,1.53,1
10.0,12.6,4
2.56,1.5,1
2.65,1.6,1
3.0,2.3,1
1.7,1.0,1
1.75,0.6,1
1.55,0.5,1
1.0,0.9,1
1.45,0.2,1
1.36,0.35,1
2.0,2.84,2
5.06,6.44,2
12.7,10.2,2
1.0,1.2,1
1.25,0.6,1
2.22,2.0,1
2.0,1.3,1
1.96,0.82,1
2.0,0.97,1
2.0,0.63,1
1.76,0.82,1
3.76,3.66,1
3.56,1.98,1
4.06,2.05,1
2.25,1.0,3
3.35,2.9,1
3.45,2.8,1
15.36,17.18,1
1.5,1.0,1
2.0,1.8,1
2.0,1.3,1
2.25,0.8,1
2.0,1.2,1
1.0,1.0,0
2.56,0.83,1
1.0,3.56,1
2.7,1.49,1
2.06,0.73,2
1.46,0.43,1
2.86,1.49,1
2.0,1.02,1
1.86,0.87,2
2.46,0.91,2
1.56,0.75,2
2.0,1.1,1
5.46,6.02,1
1.55,1.1,1
6.86,9.26,1
3.45,1.09,2
3.56,2.12,1
1.76,1.13,1
1.95,0.8,2
1.13,0.9,1
2.15,0.5,1
1.48,2.35,2
3.55,0.8,1
3.75,3.1,1
1.7,0.7,1
2.56,1.16,2
1.66,0.58,2
2.08,0.72,2
1.46,0.21,1
1.5,1.02,1
2.7,0.67,1
9.6,8.2,1
2.0,3.89,1
3.0,3.9,1
10.65,15.7,1
1.85,0.9,1
4.36,5.37,1
2.65,1.2,1
2.05,0.6,1
2.66,1.38,1
2.56,1.46,1
7.98,9.36,1
5.76,9.08,2
3.86,3.9,1
1.33,1.55,3
1.85,0.5,1
7.05,8.7,1
2.56,1.57,1
2.26,1.59,1
2.95,1.72,1
1.49,0.86,6
3.66,3.56,1
6.06,6.83,1
2.46,1.44,1
2.79,0.62,1
4.56,5.19,1
2.32,0.98,6
13.03,11.52,6
1.56,0.28,1
3.56,2.79,1
2.45,0.96,1
2.96,2.05,2
3.46,2.73,1
4.06,1.93,1
1.0,1.45,1
4.86,3.56,1
2.05,1.2,1
1.5,1.0,1
1.45,0.7,1
6.08,3.74,1
1.46,0.39,1
2.26,1.2,2
1.0,2.05,1
1.0,0.33,1
1.0,0.78,1
10.0,6.77,1
2.56,1.23,1
0.93,0.82,1
0.5,1.3,1
1.0,1.0,1
1.8,1.1,1
0.86,0.4,2
2.96,2.67,2
2.26,1.5,1
3.55,1.9,1
1.56,0.69,1
2.66,1.89,1
2.86,1.8,1
2.46,1.33,2
1.4,0.4,1
2.45,1.0,1
2.7,1.0,2
2.0,1.24,2
6.66,5.29,1
1.56,0.77,1
2.3,0.8,0
2.95,2.8,1
4.05,2.0,1
3.36,3.55,1
2.26,1.13,1
2.05,1.6,1
6.44,11.33,2
2.75,1.3,1
1.0,0.8,1
3.35,1.2,1
1.76,0.82,1
1.66,0.67,1
1.56,0.59,1
0.7,0.82,1
1.0,0.99,1
1.5,0.88,1
15.41,17.56,1
1.2,1.28,5
3.05,1.1,1
1.46,0.53,2
2.25,1.71,2
5.94,2.76,3
1.76,0.58,2
2.26,1.32,2
1.86,0.72,2
1.0,0.86,5
5.45,3.36,5
1.0,1.12,1
2.22,2.21,1
1.0,0.91,1
2.0,0.9,1
0.54,1.1,1
4.05,3.8,1
0.88,1.0,1
3.35,1.4,1
3.26,2.94,1
12.28,17.54,1
1.2,1.26,2
3.08,1.59,2
2.7,1.42,1
3.58,1.2,1
2.58,3.8,1
4.32,2.49,1
6.7,6.2,1
1.35,0.3,1
2.16,1.0,1
2.45,1.3,1
2.05,0.7,1
2.85,1.8,1
12.28,14.43,1
2.16,0.66,1
1.96,0.89,1
1.5,0.66,1
1.5,1.35,1
1.0,0.74,3
1.56,0.54,6
1.18,0.88,6
2.06,0.89,1
2.26,1.25,1
2.3,1.81,1
4.56,3.25,1
1.66,0.76,2
1.95,1.2,1
3.35,2.2,1
1.66,0.47,1
2.56,0.79,1
1.86,0.91,1
11.78,0.03,2
1.96,0.93,1
1.85,1.7,1
2.56,1.19,1
2.0,0.79,3
2.22,1.77,1
4.26,2.32,6
2.26,1.1,1
1.55,0.4,1
4.86,6.63,1
1.96,1.34,1
2.45,1.4,1
1.1,0.57,6
1.66,0.94,6
1.82,0.6,1
4.56,3.85,1
2.22,1.5,1
3.8,2.0,1
1.75,1.0,1
1.36,0.3,1
2.76,2.26,1
1.36,1.12,1
1.96,1.25,1
2.2,0.76,1
2.85,1.8,1
3.85,2.7,1
1.86,0.83,1
2.06,0.89,1
5.82,3.07,1
2.85,1.9,1
2.86,3.08,1
4.96,2.8,1
2.46,1.66,6
1.47,1.1,1
2.2,2.45,1
3.3,1.9,1
2.66,1.38,1
2.0,1.27,1
4.46,1.81,1
3.16,1.7,2
2.66,1.38,1
2.56,1.62,1
2.36,1.4,1
1.24,0.86,1
1.0,3.01,1
1.38,1.91,1
2.45,0.86,1
1.0,0.76,1
5.16,7.55,1
1.56,0.65,1
2.06,0.83,1
1.0,1.08,1
2.0,2.28,1
3.56,1.84,1
2.66,1.9,5
1.4,0.9,1
5.16,4.78,5
5.36,6.09,1
1.95,0.47,1
6.82,6.57,1
2.0,0.65,1
1.46,0.69,1
2.26,0.49,1
2.56,1.24,1
2.0,1.24,1
2.7,0.98,1
2.66,1.37,1
2.86,3.42,1
2.45,1.5,2
1.47,1.09,1
9.08,11.94,1
3.16,2.17,1
1.66,0.76,1
1.36,0.21,5
3.65,4.6,1
2.25,1.1,1
1.0,0.66,1
2.36,1.41,1
1.96,0.82,1
2.56,1.64,1
1.5,2.0,0
0.8,0.5,0
2.6,3.3,1
3.26,2.13,1
2.0,1.2,1
1.96,1.05,1
2.6,2.55,1
3.26,2.82,1
2.06,1.1,1
2.85,1.4,1
1.85,0.7,1
2.2,0.7,1
1.75,0.7,1
2.86,1.28,1
1.66,0.46,2
1.2,1.1,1
2.82,1.46,1
1.56,0.67,5
1.0,2.07,1
1.0,0.79,1
1.66,0.54,2
11.98,10.5,1
1.0,12.9,2
2.45,1.1,2
2.83,1.46,1
3.06,2.37,1
2.64,0.7,1
2.35,1.3,1
1.18,1.57,1
1.0,1.29,1
1.46,0.73,1
5.0,17.4,1
1.0,1.31,1
6.46,7.65,2
2.65,1.4,1
7.45,10.1,1
0.68,0.45,3
2.0,4.68,5
1.96,0.81,5
2.16,0.86,5
5.25,7.5,1
4.26,3.16,1
14.73,20.63,1
2.25,1.6,1
1.85,1.0,1
1.36,0.25,1
2.65,2.0,1
2.95,2.5,1
2.76,1.52,1
1.66,0.34,1
4.86,3.95,1
1.0,1.36,1
4.05,4.6,1
2.75,0.9,1
2.65,0.7,1
1.76,1.32,1
8.45,8.72,1
1.38,1.13,1
0.78,0.47,1
2.2,0.74,1
4.86,3.7,2
1.46,0.45,1
5.36,8.04,1
2.36,1.56,1
2.5,2.4,2
1.47,0.79,1
3.35,2.2,1
2.5,1.4,1
1.16,0.64,1
3.16,1.39,1
2.06,0.88,5
10.45,15.9,1
1.0,1.2,1
2.5,1.5,1
2.36,1.6,1
2.55,2.3,1
2.15,1.4,1
0.49,1.1,1
2.75,1.8,1
3.36,3.0,2
1.76,0.74,1
2.66,1.65,1
7.68,9.38,1
3.08,1.57,3
3.0,3.02,1
3.75,3.2,1
1.8,0.4,1
10.0,3.5,1
2.0,0.61,1
2.56,1.38,1
1.76,0.73,1
1.0,1.66,1
2.49,0.45,1
20.23,23.62,5
3.56,2.57,4
2.16,0.73,1
5.5,2.48,1
2.76,1.52,1
1.0,1.5,1
2.3,0.7,2
0.83,0.6,1
1.0,0.62,5
1.85,0.9,1
2.8,1.9,1
3.65,4.7,1
2.0,1.5,1
2.16,0.94,1
1.77,1.5,1
5.0,10.44,5
12.28,17.93,1
6.0,12.77,1
1.16,0.16,1
1.65,0.7,1
4.2,8.1,1
4.95,4.9,1
5.7,5.2,1
1.46,0.9,1
4.2,2.3,1
1.86,1.0,1
4.05,3.0,1
1.08,1.19,1
1.89,0.21,1
3.06,1.82,1
2.85,2.0,1
2.97,3.0,1
2.35,1.0,3
1.76,0.66,1
1.86,0.73,1
1.86,0.87,1
3.26,2.88,1
2.26,1.08,1
1.95,0.8,1
2.15,1.4,2
2.58,0.76,2
3.86,3.49,1
1.77,1.11,1
1.5,0.75,1
1.1,0.45,1
2.86,1.6,1
4.74,2.48,1
0.98,0.92,1
2.0,2.0,1
2.07,1.34,1
1.0,2.1,1
2.7,1.53,1
2.34,0.7,2
2.45,0.94,2
1.85,0.9,1
2.15,1.4,1
1.95,0.7,1
2.7,1.2,1
2.0,0.8,1
7.78,9.54,2
4.36,5.04,1
1.5,1.8,0
2.55,1.7,1
1.85,0.7,0
3.2,1.5,2
1.24,0.78,1
2.79,0.77,1
3.08,0.76,1
2.96,2.47,1
1.56,0.45,1
1.5,1.8,1
2.55,1.8,1
11.11,17.7,1
2.25,1.0,1
1.25,1.5,1
1.0,1.28,1
2.06,1.12,1
4.32,2.69,1
3.58,1.9,1
1.46,0.43,5
2.7,1.25,5
1.0,0.69,1
3.26,0.89,4
3.0,2.4,1
2.75,1.6,1
2.16,0.85,1
1.86,0.75,2
1.56,0.63,2
2.36,1.73,2
4.96,3.58,2
1.0,1.5,2
2.26,1.85,2
1.0,1.4,1
3.2,1.9,1
1.5,1.6,1
1.85,0.8,1
4.14,1.48,1
3.56,1.76,1
1.0,1.74,1
2.7,3.32,3
2.18,0.81,2
2.96,2.17,5
2.46,1.43,5
1.66,0.52,1
2.06,1.32,1
2.06,0.85,1
10.0,15.69,1
1.0,0.74,1
2.66,2.86,3
2.0,2.96,1
2.76,2.16,1
1.86,0.74,1
2.16,0.92,1
1.96,1.3,1
2.45,1.9,1
1.96,0.83,1
1.66,0.82,1
1.86,0.84,1
2.0,1.82,1
2.76,1.49,1
3.2,1.3,1
2.76,2.59,1
1.36,0.34,1
2.06,0.97,1
2.95,1.95,1
12.28,17.42,1
2.15,1.2,1
1.0,2.46,1
2.56,0.96,1
12.1,11.29,1
2.45,0.9,0
2.16,1.29,2
8.68,10.39,2
2.05,1.0,1
2.25,0.7,1
1.65,0.4,1
2.75,1.1,1
1.58,2.5,1
7.58,9.78,1
22.96,31.32,1
1.96,1.07,1
3.16,2.67,1
3.76,2.98,3
1.0,0.74,1
1.5,2.24,1
1.08,0.72,1
3.09,1.31,1
1.46,0.62,1
2.46,1.33,2
3.06,2.23,1
0.7,0.9,1
1.35,0.3,1
4.15,2.5,1
3.2,1.4,4
3.95,1.8,0
1.62,1.1,1
3.45,2.0,1
4.0,4.3,1
1.0,0.4,6
1.5,1.13,2
2.5,2.44,2
1.46,1.54,1
4.06,3.66,1
1.0,2.5,1
1.76,0.68,1
1.5,1.89,1
4.36,4.26,1
1.86,0.85,1
4.46,2.84,1
2.76,1.58,1
12.28,19.31,1
3.05,2.0,1
3.15,2.3,1
0.64,1.7,2
2.5,4.87,2
3.06,1.56,1
3.45,1.63,1
8.08,9.56,1
3.26,1.35,1
2.0,1.01,1
0.76,0.91,1
1.95,0.4,1
1.96,0.84,1
1.1,1.49,1
2.25,0.7,1
2.2,2.7,1
6.35,8.3,0
2.52,3.6,0
1.0,2.0,1
1.0,3.8,1
2.65,1.4,1
1.47,1.4,1
1.47,1.01,1
1.86,0.82,1
11.28,17.49,1
3.7,1.85,1
5.0,0.6,1
0.88,0.5,0
3.54,1.76,1
18.99,20.11,1
0.8,0.84,1
2.06,1.11,1
9.84,8.33,1
3.0,1.9,1
2.0,2.9,1
1.85,1.0,1
2.35,1.1,1
1.46,0.37,1
2.82,1.03,1
3.36,1.41,1
1.76,0.8,1
2.56,1.97,1
2.96,1.7,1
1.02,0.44,1
3.46,2.43,1
1.76,0.98,1
7.46,13.05,1
2.0,2.5,0
5.0,9.6,1
1.8,1.3,0
2.06,0.97,5
3.58,1.8,5
1.65,0.5,0
2.26,1.41,1
2.15,1.2,1
2.05,1.1,0
1.0,0.9,1
2.26,1.14,1
1.5,1.6,2
1.76,0.88,2
1.86,0.8,2
2.36,1.33,1
3.25,2.1,3
2.56,1.44,1
2.07,2.18,1
5.0,0.93,2
1.13,1.15,1
2.46,1.09,1
1.0,1.14,1
2.7,1.52,1
0.78,0.47,1
2.0,3.15,1
1.0,1.03,1
2.36,1.31,2
4.26,3.27,1
3.85,1.7,0
2.19,0.44,1
3.16,1.81,5
4.26,3.18,5
1.76,0.73,5
2.05,0.7,2
2.25,1.1,2
16.45,1.02,3
2.26,1.2,1
1.08,1.15,1
5.85,6.0,0
1.17,1.12,5
1.26,0.26,6
1.96,0.83,5
1.96,0.65,1
4.08,3.2,1
1.65,0.8,1
2.26,1.54,6
1.0,0.9,1
2.0,3.62,5
2.25,1.5,1
1.55,0.5,2
2.0,11.6,2
7.0,2.9,1
3.86,2.69,1
7.28,8.59,1
2.0,0.97,4
1.44,0.34,6
2.46,2.03,5
2.46,1.76,4
2.45,0.75,1
3.96,2.76,1
1.38,1.37,2
1.96,1.21,1
2.96,1.87,1
1.96,1.08,1
1.96,0.88,1
1.0,2.68,1
1.86,0.89,1
3.76,3.39,1
3.82,2.4,1
3.35,2.1,1
2.75,1.4,1
2.26,1.49,1
2.06,1.09,1
1.66,0.52,1
2.66,2.3,1
2.05,0.7,1
1.35,0.3,1
2.36,0.83,1
3.0,4.6,1
2.76,1.64,1
3.75,4.0,1
2.84,3.0,1
2.15,1.6,1
1.55,1.2,1
3.46,2.6,1
